차량명,연식,주행거리,가격
현대 디 올 뉴 싼타페 하이브리드 터보 1.6 하이브리드 2WD 캘리그래피,23년 11월식(24년형),"21,309km","4,120만원"
제네시스 GV80 가솔린 3.5 AWD (5인승),21년 9월식,"102,041km","3,900만원 4,000만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 4WD 노블레스,25년 2월식,"12,997km","3,950만원 4,090만원"
기아 타스만 가솔린 터보 2.5 4WD X-Pro,25년 5월식(26년형),"7,132km","4,730만원 5,270만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 그래비티 6인승,21년 12월식,"43,016km","3,860만원 4,150만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,19년 4월식,"91,026km","930만원 1,050만원"
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,21년 2월식,"151,038km","1,520만원"
기아 올 뉴 프라이드 1.6 GDI 세단 럭셔리,14년 12월식,"75,775km",550만원
현대 더 뉴 맥스크루즈 디젤 2.2 4WD 파이니스트 에디션,16년 3월식(17년형),"103,702km","1,750만원"
르노코리아(삼성) SM6 2.0 GDe RE,16년 7월식,"85,657km",840만원
현대 쏘나타 더 브릴리언트 CVVL 스마트,13년 5월식,"69,698km",660만원
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,20년 2월식,"61,847km","1,620만원"
벤츠 E-클래스 W213 E250 익스클루시브,21년 4월식,"109,184km","3,220만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,19년 11월식(20년형),"29,188km",850만원
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,20년 10월식(21년형),"106,635km","2,480만원"
현대 그랜저 IG 3.0 익스클루시브 스페셜,19년 4월식,"81,912km","1,710만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 1월식,"22,592km","4,350만원"
기아 더 뉴 레이 스탠다드,20년 3월식,"78,285km",920만원
현대 아반떼 (CN7) 가솔린 1.6 터보 (N라인) 인스퍼레이션,21년 3월식,"80,813km","1,800만원"
기아 더 뉴 카니발 7인승 리무진 VIP,19년 12월식(20년형),"91,169km","1,880만원"
기아 K7 하이브리드 700h 프레스티지,16년 6월식,"121,379km","1,190만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 7월식,"126,457km","1,030만원"
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 9월식(19년형),"132,893km","1,680만원"
기아 K5 2세대 2.0 MX 럭셔리,17년 5월식(18년형),"107,993km",890만원
기아 K3 럭셔리,14년 4월식,"72,206km",650만원
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,15년 12월식(16년형),"91,841km","1,150만원"
KG모빌리티(쌍용) 더 뉴 티볼리 에어 가솔린 터보 1.5 A5 2WD,24년 7월식,"15,709km","1,890만원"
현대 더 뉴 아반떼 1.6 GDi 스타일,14년 8월식(15년형),"104,745km",630만원
기아 더 뉴 모닝 스마트,16년 7월식,"9,001km",610만원
기아 K3 트렌디,14년 5월식,"95,633km",580만원
현대 아슬란 G300 익스클루시브,16년 8월식,"112,869km","1,090만원"
쉐보레(GM대우) 말리부 2.0 LT 디럭스팩,15년 1월식,"86,198km",540만원
현대 베뉴 1.6 모던,20년 10월식,"104,096km","1,470만원"
KG모빌리티(쌍용) 렉스턴 스포츠 칸 디젤 2.2 4WD (파워 리프) 노블레스,19년 11월식(20년형),"81,494km","1,760만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 8월식(19년형),"155,956km","1,670만원"
현대 i30 (PD) 1.4 터보 스타일,18년 11월식,"65,398km","1,050만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 7월식(20년형),"71,744km","2,090만원"
닛산 맥시마 (A36) 3.5 플래티넘,17년 6월식,"103,691km","1,090만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 노블레스,21년 1월식,"91,369km","2,380만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 1월식,"65,369km","2,090만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
지프 랭글러 (JK) 3.6 루비콘 4도어,17년 9월식,"68,497km","2,490만원"
기아 K3 노블레스,13년 6월식,"71,756km",690만원
벤츠 GLC-클래스 X253 GLC300 4MATIC 쿠페,20년 5월식,"49,622km","3,920만원"
현대 그랜저 HG HG240 모던,13년 2월식,"39,698km",900만원
기아 레이 밴 고급형,15년 9월식(16년형),"47,005km",730만원
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,21년 3월식,"91,479km","1,570만원"
기아 더 뉴 카니발 4세대 디젤 2.2 7인승 시그니처,24년 2월식,"23,568km","4,480만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,19년 12월식(20년형),"65,178km","2,150만원"
현대 더 뉴 아반떼 N 가솔린 터보 2.0,23년 12월식(24년형),"33,693km","2,800만원"
기아 더 뉴 K3 노블레스,16년 10월식(17년형),"78,220km","1,190만원"
현대 i30 (PD) 디젤 1.6 프리미엄,18년 4월식,"43,723km","1,320만원"
BMW 2시리즈 액티브 투어러 (U06) 220i 럭셔리,23년 9월식,"11,061km","3,320만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,22년 11월식(23년형),"51,739km","1,990만원"
현대 더 뉴 투싼 가솔린 터보 1.6 2WD 인스퍼레이션,24년 7월식,"27,123km","3,090만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 11월식(18년형),"171,029km",690만원
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 12월식(18년형),"94,240km","1,060만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,20년 9월식,"33,246km","2,160만원"
제네시스 G80 3.3 GDI AWD 프레스티지,17년 11월식(18년형),"61,205km","2,290만원"
현대 싼타페 더 프라임 디젤 2.2 4WD 익스클루시브,15년 6월식(16년형),"108,113km","1,390만원"
기아 더 뉴 모닝 럭셔리,16년 2월식,"28,885km",790만원
링컨 코세어 가솔린 4WD 2.0 리저브 AWD,22년 11월식,"24,132km","3,190만원"
기아 모닝 어반 가솔린 1.0 밴 세부등급 없음,20년 8월식(21년형),"33,221km",750만원
BMW X3 (G01) xDrive 20i M 스포츠,21년 5월식,"103,034km","3,910만원"
현대 쏘나타 DN8 2.0 LPi(장애인용) 모던,19년 5월식(20년형),"99,211km","1,410만원"
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 그래비티,24년 2월식,"33,692km","3,850만원"
기아 올 뉴 모닝 디럭스 트렌디,14년 1월식,"76,177km",570만원
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 5월식,"99,234km","1,890만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,20년 2월식,"94,647km","2,160만원"
현대 올 뉴 투싼 디젤 1.7 2WD 스마트,18년 6월식,"77,277km","1,250만원"
기아 올 뉴 K3 프레스티지,20년 3월식,"60,738km","1,310만원"
기아 K8 가솔린 3.5 4WD 플래티넘,22년 6월식(23년형),"43,192km","3,050만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,22년 5월식(23년형),"53,841km","2,090만원"
미니 쿠퍼 (3세대) S HIGH,21년 1월식,"63,475km","1,800만원"
현대 포터2 CRDi 카고 초장축 더블캡 스마트,23년 4월식,"10,026km","1,910만원"
현대 팰리세이드 가솔린 3.8 4WD VIP (7인승),22년 1월식,"56,134km","3,220만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 트렌디,22년 7월식,"25,543km","2,330만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 1월식,"40,399km","4,190만원"
현대 더 뉴 제네시스 쿠페 380 GT-R,15년 10월식(16년형),"101,213km","1,550만원"
기아 더 뉴 모닝 (JA) 가솔린 1.0 시그니처,23년 8월식(24년형),"24,861km","1,550만원"
지프 랭글러 (JK) 3.6 루비콘 4도어,17년 11월식,"77,865km","2,320만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 AWD 프리미엄,18년 9월식(19년형),"40,978km","2,090만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C7,22년 11월식(23년형),"45,187km","1,940만원"
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 레드라인,25년 6월식,"8,003km","2,190만원"
쉐보레(GM대우) 말리부 2.0 LTZ 디럭스팩(블랙휠),12년 8월식,"99,317km",460만원
제네시스 G80 3.8 GDI AWD 파이니스트,19년 1월식,"87,528km","2,550만원"
르노코리아(삼성) SM6 1.6 TCe RE,17년 9월식,"56,820km","1,020만원"
KG모빌리티(쌍용) 렉스턴 스포츠 칸 디젤 2.2 4WD (다이내믹 5링크) 다이나믹 에디션,21년 1월식,"70,842km","1,920만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 밸류 플러스,17년 11월식(18년형),"55,782km","1,510만원"
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 RS,23년 8월식(24년형),"23,930km","2,090만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 익스페디션,22년 7월식,"24,057km","2,650만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,17년 8월식(18년형),"57,538km",620만원
제네시스 GV70 가솔린 터보 2.5 AWD,21년 6월식,"106,167km","3,320만원"
기아 더 뉴 봉고III 트럭 LPi 2.5 터보 카고 1톤 더블캡 초장축 L,25년 3월식,"9,635km","1,920만원"
기아 더 뉴 카니발 9인승 프레스티지,20년 6월식,"67,688km","1,690만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 11월식(19년형),"119,974km","1,220만원"
BMW X4 (G02) 가솔린 4WD xDrive20i M 스포츠 X,21년 1월식,"24,673km","4,370만원"
현대 i30(신형) 1.6 GDI PYL,13년 3월식(14년형),"85,506km",650만원
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,21년 5월식(22년형),"81,951km","2,310만원"
현대 팰리세이드 가솔린 3.8 2WD 캘리그래피 (7인승),20년 10월식(21년형),"78,844km","2,720만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 12월식(23년형),"62,522km","2,520만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,19년 5월식,"120,369km","1,590만원"
기아 올 뉴 카니발 9인승 럭셔리,17년 3월식,"95,520km","1,180만원"
KG모빌리티(쌍용) 토레스 가솔린+LPG 1.5 2WD TL7,23년 3월식,"18,907km","2,290만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅲ,19년 1월식,"94,044km","2,350만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 4월식,"59,539km","1,950만원"
기아 더 뉴 봉고III 트럭 LPi 2.5 터보 특장 1톤 하이 고급형 내장탑차 킹캡 초장축 L,24년 3월식,"25,463km","2,250만원"
제네시스 GV80 가솔린 3.5 AWD (5인승),20년 5월식,"106,762km","4,050만원"
현대 그랜저 (GN7) LPG 3.5 (일반인) 프리미엄,23년 1월식,"30,768km","3,170만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,20년 4월식,"117,006km","2,350만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,23년 1월식,"79,783km","2,480만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 8월식(20년형),"111,856km","1,970만원"
르노코리아(삼성) XM3 하이브리드 인스파이어 (e-시프터),23년 2월식,"57,599km","1,960만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 9월식,"70,450km","1,150만원"
현대 디 올 뉴 팰리세이드 가솔린 터보 2.5 2WD (9인승) 프레스티지,25년 4월식(26년형),"5,353km","4,790만원"
르노코리아(삼성) SM6 2.0 GDe LE,16년 11월식,"58,322km",840만원
기아 K8 가솔린 3.5 2WD 노블레스,22년 10월식(23년형),"49,322km","2,520만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 12월식(18년형),"89,509km","1,030만원"
현대 더 뉴 그랜저 가솔린 2.5 르블랑,22년 4월식,"59,947km","2,780만원"
기아 올 뉴 카니발 11인승 프레스티지,14년 11월식(15년형),"114,540km","1,090만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 3월식,"125,678km","2,150만원"
르노코리아(삼성) QM6 디젤 4WD RE 시그니처,16년 11월식(17년형),"94,256km","1,150만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 6월식,"34,060km","1,330만원"
쉐보레(GM대우) 스파크 LT 기본형,15년 7월식,"29,864km",520만원
쉐보레(GM대우) 더 넥스트 스파크 에코 LTZ,15년 9월식(16년형),"92,650km",550만원
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (7인승),21년 6월식(22년형),"33,587km","2,720만원"
현대 아이오닉 플러그인 하이브리드 Q,18년 12월식(19년형),"97,208km","1,540만원"
지프 랭글러 (JL) 2.0 루비콘 4도어,22년 6월식,"65,905km","4,480만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 7월식(21년형),"79,926km","1,670만원"
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,17년 4월식,"107,523km","1,950만원"
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 5월식(19년형),"61,588km","1,950만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 3월식,"52,664km",620만원
현대 LF 쏘나타 LPI 모던(장애인용),14년 5월식(15년형),"73,314km","1,140만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,20년 11월식(21년형),"86,908km","2,590만원"
기아 K3 트렌디,13년 4월식,"125,765km",590만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 11월식(23년형),"38,251km","2,890만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,23년 1월식,"15,871km","2,290만원"
르노코리아(삼성) QM5 네오 가솔린 2WD LE,14년 12월식,"56,310km",790만원
기아 더 뉴 카니발 9인승 프레스티지,18년 7월식(19년형),"102,289km","1,480만원"
현대 베뉴 1.6 모던,21년 4월식,"91,882km","1,340만원"
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,20년 12월식(21년형),"107,153km","2,390만원"
르노코리아(삼성) 아르카나 가솔린 1.6 테크노,25년 9월식(26년형),603km,"2,050만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 6월식(18년형),"32,959km","1,130만원"
기아 더 뉴 쏘렌토 디젤 2.2 4WD 마스터,18년 12월식(19년형),"108,583km","1,860만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 세부등급 없음,17년 8월식,"110,930km",820만원
현대 올 뉴 투싼 디젤 2.0 2WD 모던,16년 2월식,"15,200km","1,500만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,21년 5월식,"84,220km","2,640만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던,17년 8월식(18년형),"114,183km","1,130만원"
현대 넥쏘 프리미엄,22년 10월식(23년형),"60,028km","2,130만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 쏘나타 뉴 라이즈 1.6 터보 스마트,17년 3월식(18년형),"137,630km","1,180만원"
